::1 | 17/Dec/2024:21:39:42 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.279ms
::1 | 17/Dec/2024:21:39:55 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.797ms
::1 | 17/Dec/2024:21:39:55 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.313ms
::1 | 17/Dec/2024:21:39:55 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 130.237ms
::1 | 17/Dec/2024:21:39:55 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 124.042ms
::1 | 17/Dec/2024:21:39:55 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 152.935ms
::1 | 17/Dec/2024:21:39:55 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 1.307ms
::1 | 17/Dec/2024:21:40:34 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.192ms
::1 | 17/Dec/2024:21:40:34 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.327ms
::1 | 17/Dec/2024:21:40:34 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.302ms
::1 | 17/Dec/2024:21:40:34 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.188ms
::1 | 17/Dec/2024:21:40:34 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.248ms
::1 | 17/Dec/2024:21:40:34 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.069ms
::1 | 17/Dec/2024:21:41:22 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 4.022ms
::1 | 17/Dec/2024:21:41:22 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.104ms
::1 | 17/Dec/2024:21:41:22 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.371ms
::1 | 17/Dec/2024:21:41:22 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.618ms
::1 | 17/Dec/2024:21:41:22 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.550ms
::1 | 17/Dec/2024:21:41:22 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.823ms
::1 | 17/Dec/2024:21:42:16 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 4.982ms
::1 | 17/Dec/2024:21:42:16 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 4.189ms
::1 | 17/Dec/2024:21:42:16 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.534ms
::1 | 17/Dec/2024:21:42:16 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 1.206ms
::1 | 17/Dec/2024:21:42:16 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 4.865ms
::1 | 17/Dec/2024:21:42:16 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 2.421ms
